xuhao,id,title,author,abstract,keywords,perio,juanhao,issn,read_url,pdf_url,content,original_url
22,ZYJA201605006,“鼓乐”走进课堂的策略,孙波 王永刚 王燕舞,"<正>""新课标""指出:""器乐演奏对于激发学生学习音乐的兴趣,提高对音乐的理解、表达和创造力有着十分重要的作用,器乐应与唱歌、鉴赏、创造等教学内容密切结合。""(1)在教学实践中我们发现,很多学生可以模唱歌曲或旋律,可以感受作品的情绪与风格,却无法正确、流畅地读出一条节奏,即使是模仿,也缺乏流动感。在音乐中,节奏是音乐的骨架和灵魂,如果没有良好的节奏感,那么准确地 ",,中国音乐教育,2016年05期,1003-1138,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=ZYJA201605006&uid=,"http://kns.cnki.net/kns/download.aspx?filename=3MFO5BzSQZkMBpHNxBXYIFnUGN3MqpXQ0kkUxNjUMRTdl9GRXl0QSB1aG92QENWaMJHdCZ2cKh3SFBVRPFWNityckNXOKdVM4Z2Vh9GNIRUSvp3aGBXMyJDNOV0N5gFd54mVyQ0ZnNjbVJmZCx2NyZzM5gDe3wWV&tablename=CJFDLAST2018&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=ZYJA201605006
23,JYLL201609002,从科层制到矩阵制:高校学生组织结构创新思考,周生虎,"传统的科层制学生组织具有如下缺陷:等级制,""官僚主义""滋生;管理层次多,信息不对称且效率低下;程序固定,缺乏创新活力;专业分工,阻碍学生全面发展;组织封闭,受益学生少。作为科层制组织结构改革方向之一的矩阵式组织结构逐渐进入公众视野并得到广泛应用,按照矩阵式组织设计原则构建新的高校学生组织架构,能够更好地挖掘学生组织潜力,使其发挥出更好更大的作用。 ","科层制组织;
                   矩阵制组织;
                   高校学生组织;
                   结构创新;",教育理论与实践,2016年09期,1004-633X,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=JYLL201609002&uid=,"http://kns.cnki.net/kns/download.aspx?filename=mhHV2NlNth1aslmWDBFMy8kQFtkTRFUbEt2TT9EUwlzU0V1QulVVmFWR5tSW24UM2U2UR1mWpRlbnZnVoNVeOJjWuNjYX10b4MXRrgDcnlETykzVYVHRP5UT2NXM1ZzTDp0bPBDTqJ1LLBnQK5mWmhnW1NTdXlmW&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JYLL201609002
24,ZGQL201603003,从革命、建设到改革:共青团与学联关系研究,李艳,"全国学生联合会是在五四运动的高潮中诞生的。中国共产党从成立之日起就高度重视青年学生在社会革命中的作用和地位。在中国共产党领导下,中国共青团在不同历史阶段都对学联的发展给予指导和帮助。90多年来学联在党的领导下,在中国共青团指导下,带领一代又一代青年学生为民族解放、国家富强贡献了青春和力量,发挥了特有的价值和作用。 ","中国共产党;
                   中国共青团;
                   全国学联;",中国青年研究,2016年03期,1002-9931,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=ZGQL201603003&uid=,"http://kns.cnki.net/kns/download.aspx?filename=CBTQyUzUwEjMrh0KzAVU0okW5UVVVVWRtRmatFWN3N1SMR2bGtmZqN0VBVDOaV2TLJ3MQBXUj5WcHZEU3onNPNjYhRzLVlGVqhzZzkWd14WRYRzbRxGewllbK1GTXJ0Q2lGeMR1ZuJHTJB3YFF2YmlGdz52ZJFXT&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=ZGQL201603003
25,ZYJA201603009,“理解为先的教学设计”对我国学校音乐教育的启示,徐婷,"<正>《义务教育音乐课程标准(2011年版)》(以下简称""新课标"")强调以音乐审美为核心,凸显音乐课程的美育功能,强调音乐课程的人文属性和对学生创造性潜能开发的课程价值,既考虑到了学生综合能力的发展,同时平衡了在音乐教学中音乐知识、技能学习、审美体验和文化认知的关系问题。该标准是我国历经十年的实践成果,在我国音乐课程改革历程中具有里程碑式的意义。自""新课标""出台后,全国各地开展的中小学音乐观摩展示活动,有力推 ",,中国音乐教育,2016年03期,1003-1138,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=ZYJA201603009&uid=,"http://kns.cnki.net/kns/download.aspx?filename=OBzNtpHaJ9iZvQXbY5WTZlFOttWSpNGRupmehpnTstGOxMmWydjMQhzMnFFbplHcrYnZwFWTCdmQtllWtd3TCtSdVtWVzM3ZqlzbqZzQvImUp1UQPNnVwNmashUbyxmdWBXbp9WS2ZXW0Rje0l3NWpncr5WM6tUY&tablename=CJFDLAST2018&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=ZYJA201603009
26,LWBI201601016,“后革命”氛围中的学校风潮:1927年大同大学驱长风潮研究,严海建,"1927年,大同大学发生驱逐校长胡敦复的风潮。风潮是在国民党上海市党部发动的""打倒反动学阀""运动的背景下发生的,带有明显的国民党基层党部在革命后进行政治清算的色彩。但风潮迁延不决,结果也未能如党部的初愿,其中固然有大同大学办学者团体坚固的因素在起作用,其背后国民党上海政治分会对于党部诉求的抑制也是至关重要的。国民党建政之后,试图通过打倒教育界的既有权威以加强对大学的控制,但囿于自身条件,在其党化教育的过程中,大学仍保有相当的独立性。在此意义上,1927年的政权更易,对于大学的影响呈现出断裂与延续并存的特点。 ","大同大学;
                   打倒学阀;
                   国民党;
                   党政关系;
                   教育独立;",史林,2016年01期,1007-1873,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=LWBI201601016&uid=,"http://kns.cnki.net/kns/download.aspx?filename=Zl0SaJWbXdETvNzUZlmY1pUb29kRTJnWnRkUHJVeZF3ZBJjbyBnSYxWb5J2NCRHSrZWekh0U0B1aR5UT4NGRzAHNDpETrp3dvRUbxUWdFNkTsFTSFRXRBtES3djSMp1Z1wUQUhEOP1GeORFcxUWRhticTtUM2xWN&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=LWBI201601016
27,TYJK201601002,论在台陆生参选学生会会长的基本权保障,徐昆明,"台湾开放大陆学生赴台就读大学至今已四年多,随着陆生人数增加,其基本权保障的问题日益凸显。近来,陆生得否参选学生会会长,便引发诸多争议。该争议所涉及的乃是台湾地区""宪法""第22条所保障的受教权,而非第17条所保障的被选举权。在""宪法增修条文""与指标性""大法官解释""对于两岸关系的定位下,陆生仍为台湾地区""宪法""的基本权主体。而且,在""宪法""所规范的""宪政""秩序下,更应保障陆生参选学生会会长的权利。 ","陆生赴台;
                   三限六不;
                   学生会会长;
                   基本权;",台湾研究集刊,2016年01期,1002-1590,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=TYJK201601002&uid=,"http://kns.cnki.net/kns/download.aspx?filename=wlDczV0dyMUe6ljY0dHOTN1UC52VkFjYwATRzZGbNp1NY9ibOVlT4ZDWmdXSrAjaIRHcK9GW1lXVtNkeSxEUwdkajZkYvJkTwp2MrV1Y1QHdZB3UtNjexI3ZJpnW65ES4xmbLx2av00SihFcxNDb4MFNBpWcRZ1V&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=TYJK201601002
28,DHJY201602007,网络环境下基于课程重构理念的项目式学习设计与实践研究,张文兰 张思琦 林君芬 吴琼 陈淑兰,"项目式学习是以建构主义理论为指导,强调学生在真实问题情境中探究学习,从而提升学生多元能力的教学模式。随着信息技术与教育的深度融合,在网络环境下开展项目式学习逐渐成为近年来关注的热点。本文在分析网络环境对项目式学习支持的基础上,从国家课程项目式重构的视角,结合教学实践提出了网络环境下基于课程重构理念的项目式学习模式,并通过实践案例展示了该模式在基础教育领域的应用。 ","项目式学习;
                   国家课程重构;
                   网络环境;
                   教学模式;",电化教育研究,2016年02期,1003-1553,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=DHJY201602007&uid=,"http://kns.cnki.net/kns/download.aspx?filename=4AlUSVWUUN2KXN0VOpmUCFDNYdlNyY1UulnZPpGZyplM4UTbFVXWPFWT4Z0ZpZzc1ZlWwRGSyJmYYpkWWZ2KQFFU3E3MBRnMRZlcmRUMQR1bxRWaqJWUq9yTZhTS2IDWPdXahZWOTFDdmFVeoxmdvEWOy5GOyhVd&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=DHJY201602007
29,ZYJA201601004,培养终身学习的“全能音乐家”,耿燚,"<正>安妮·费耐尔(Anne Fennell)女士目前任教于美国加州""使命""维斯塔(Mission Vista)高中,表演艺术系主任,作曲课教师。她是""国家核心音乐艺术标准委员会音乐分部""的团队成员,国家音乐教育协会安理会成员,学区课程标准、课程创造力和组成以及综合艺术方面的评估顾问,参与创建由美国音乐制品协会和""迪士尼的小爱因斯坦""共同发起的""探索音乐格莱美基金会""。作为""2015中国音乐教育大会""第一位主讲嘉宾,安妮与到会的音乐教育专家、学者、教师们分享了自己关于在 ",,中国音乐教育,2016年01期,1003-1138,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=ZYJA201601004&uid=,"http://kns.cnki.net/kns/download.aspx?filename=5czLklWU2EXNTt0KJdzS0EFR10GTklENWxmN0hUWyolb5kmNopVNUZ3VGNnSqB3RxZ2NnBnYyllQ412R6hVajZ3Sp1kQQd0SS9mVLpHUXhVVHB3LvVURhVmVYdzUaRkVjdEW4J2Z2MzMwl3YjljbOdHRrZEVmpUS&tablename=CJFDLAST2018&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=ZYJA201601004
30,RMJY201522022,让德育成为一种鲜活的自主生活,周宏斌,"<正>培养学生的道德自主能力是德育的关键。雅斯贝尔斯曾经指出:""教育活动关注的是,人的潜力如何最大限度地调动起来并加以实现,以及人的内部灵性与可能性如何充分地生成。""道德教育同样如此,它面临着如何最大限度地激发人性中的善,以实现人的道德自主生活的课题。面对""互联网+""这一感知无处不在、连接无处不在、数据无处不在以及计算无处不在的""万物互联""时代,教育活 ",,人民教育,2015年22期,0448-9365,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=RMJY201522022&uid=,"http://kns.cnki.net/kns/download.aspx?filename=G1kYF9CWrNEbmNHUmZVbQFjU4pXQv1kQahXeHhjdYhFNpV3RtN3Z3JVa5dVSRFkY3gHbvgFTwJ0RpR3ZEJXYC52Lyh3NQ9EaRR2cHFXTykEc3NGMwR2V6hVUCNkWwAndGtSZKp3cjN0KsRVZuFEUmN2UVtmZ1UnY&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=RMJY201522022
31,LZXK201508013,寰球中国学生会早期史事考述(1905—1919),高翔宇,"1905年成立于上海的寰球中国学生会,举办的活动包括开办日校及夜校、邀请名流演讲、接洽留学生深造等内容,其在促进社会教育、中西文化互动、留学教育等方面发挥了重要作用。通过考察寰球中国学生会的早期史事,亦可窥见其在清末民初上海公共空间领域中的思想史意义。 ","寰球中国学生会;
                   早期史事;
                   公共空间;
                   1905-1919;",兰州学刊,2015年08期,1005-3492,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=LZXK201508013&uid=,"http://kns.cnki.net/kns/download.aspx?filename=lZzZTJDVxlEVjdTRKxEN4R0chhUehJUWxc0RUFlR0BFSWRVR1RkWztWSvNUb5YWWuFEM5NUbrlHV4B1ZuV0ahVXOwZzMqNXezskb5cGdQBVZZNmQKtWc2YTe3J0Urk0Ro1GeLNHanJ0K1kEUzsSc4Izck9Wc0cHU&tablename=CJFDLAST2015&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=LZXK201508013
32,JTGY201504014,问题本位学习的组织行为学课堂教学研究,王红国,"问题本位学习是基于现实世界的以学生为中心的教育方式,在自然学科中应用较多,但是在人文学科上应用并不多见。本研究探讨问题本位学习的教学方法在组织行为课堂教学中的应用,结合教学实际提出问题本位学习导向下的课堂教学五步骤:实践与情境问题的转化;资料的查找与应用;解决方案与评价标准;团队课堂报告;现场与课后反馈。问题本位学习教学方法能更大程度地调动学生学习的自主性与积极性,提高组织行为学的课堂教学质量。 ","问题本位学习;
                   组织行为学;
                   课堂教学改革;",高教发展与评估,2015年04期,1672-8742,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=JTGY201504014&uid=,"http://kns.cnki.net/kns/download.aspx?filename=apEVxlGVJx2N0EDTtZVS5E0a6hjaxhjTINkaRVUM5NmUQBXZ5MTW4RnQxtSSpFkVsxmYUV2cHh1aTpFeWl2ZVBXTUN2NXtkYrJXSxcDTaB1TwoldmlnNWNmVY1UTYtSOrVGdsdUOCN0KtB3Q29WbZRFRMNURjZ1R&tablename=CJFDLAST2015&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JTGY201504014
33,QHDJ201504018,“自治是生活底方法”:民国时期大学学生自治生活图景考论,李力,"学生自治是民国时期大学学生生活的重要组成部分,它包含学生自治会,院(科)自治会和级会三种类型。民国时期大学生自治是中国书院教育传统与现代西方大学制度融合与借鉴的结果。作为大学校园文化的重要表现形态,学生自治具有鲜明的德育导向功能和潜移默化的自我教育功能。师生合作基础上的学生自治已然成为大学校园文化建设的优良传统。学生自治之本质在于养成学生健全人格。培养适应参与宪法政治生活和公民社会发展所必需的理想公民,既是大学推广学生自治生活的根本着眼点,也是现代大学教育的基本目标和通识教育的重要内涵。民主和法治是学生自治所蕴含的两大核心价值观。学生自治在塑造大学形态与培育校园文化生活的同时,也积极引领现代公民社会的渐进成长与理性发展。 ","学生生活;
                   大学校园文化;
                   学生自治;
                   民国;
                   创新人才培养;",清华大学教育研究,2015年04期,1001-4519,,"http://kns.cnki.net/kns/download.aspx?filename=FJ0YT1WTKhmbthnYYN2cqFnNYVnTG1WRp52QrdGMZRna10GRQJFOyMTd5BVSqdVNrF1dMV1YFJUc2BHW4NTRFV0aIN2Qv9CWzQzTxY2cxoVNsZ2NO92bGRTd3sUMOVXRmJDNPR0NIt0cG10d5ZESw9UWCRHR3JTM&tablename=CJFDLAST2015&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=QHDJ201504018
34,JYLL201515006,高校二级院系学生组织干部考评机制探究,张罡,"高校二级院系学生组织存在机构建设不科学、群众基础不牢靠、学生干部自我管理意识淡薄等方面的问题,进而催生出现行考评机制在考勤、民主测评及日常工作情况纵向测评等方面缺漏明显的窘境。高校通过创新考勤措施、改善民主测评量化程度及提升纵向测评指标容扩性等手段构建合理、有效的学生干部考评机制势在必行。 ","高校二级院系;
                   学生组织;
                   干部考评机制;",教育理论与实践,2015年15期,1004-633X,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=JYLL201515006&uid=,"http://kns.cnki.net/kns/download.aspx?filename=v90ZThjToFXavVkV1FHa4M0YUZmYwgUYaB3T0ZDT0ZzLjNTUOl0Kn52bLZlcVVzcLVlRlZ0ZjRnQqJEa21Gc4BleLRmSpRHcFFGOWFEexgVeLFkbXRna5VXWpFDUQh3SOxEUyVzKBp1KjB1U2UTW2R2b0k0KywUV&tablename=CJFDLAST2015&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JYLL201515006
35,XKJY201502015,再论杨荫榆与女师大风潮,娄岙菲,"杨荫榆与女师大风潮一直能受到特别的关注,与鲁迅本身的影响力有关。以往对此的考察,无论是对事件的描述还是评价,大都只站在鲁迅的立场,而未给杨荫榆一方以同等的发言机会。对历史人物的评价,重要的是回到历史过程中去,更多考虑到人性本身的多面和复杂性。杨荫榆无论在学识、资历、经验都可称得上是担任女校校长的绝佳人选。风潮开始后,杨与女师大学生自治会的对决,一直处于僵持状态。在开除包括许广平在内的六名自治会干事之后,鲁迅等多位教师才站出来公开支持学生,并将杨塑造为不学无术、反动落后的形象,女师大风潮逐渐成为教育界关注焦点。杨为了化解风潮,采取了相对决绝的方式,甚至带领军警入校执行封校命令,使学生一方变为主动,杨最终被迫辞职。 ","杨荫榆;
                   女师大风潮;
                   学生自治会;",教育学报,2015年02期,1673-1298,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=XKJY201502015&uid=,"http://kns.cnki.net/kns/download.aspx?filename=xgTV6VnRWFEZ2d1ZTtGcTFXOMBzbwN1SwpmTuR3Zv02dMFTSQh0da10UjVzYStWYpl3Kthmb4J1S2NFeJp2akhjMYVzK2hkR3BFc3MmWYF1YiJncjJnN0pGeVBlSmJjazMDOqlXeodHVutmVZRlWUF1Kyh0V4QzN&tablename=CJFDLAST2015&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=XKJY201502015
36,YJSY201502014,高校学生会组织面临的困境及其消解——基于哈贝马斯生活世界理论的分析,许军涛 马玉龙,"生活世界与系统世界的失衡是现代社会诸多问题产生的根本。作为生活世界实体的高校学生会组织面临着生活世界的私人领域与系统世界中的经济系统之间的冲突、生活世界的公共领域与系统世界的政治系统之间的冲突、公共领域被侵吞后私人领域的工具理性化倾向增强和私人领域对殖民化的生活世界的认同度降低等问题。为此,需要重建生活世界与系统世界之间的平衡,重塑学生会组织的外部情境,倡导学生会组织的沟通理性,提高学生会组织的社会认同。 ","生活世界;
                   系统世界;
                   殖民化;
                   沟通行动;
                   学生会组织;",教育研究与实验,2015年02期,1003-160X,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=YJSY201502014&uid=,"http://kns.cnki.net/kns/download.aspx?filename=FVFaoZTR1JTV3pXNwhGMSdzUydHWr8SQUZ0QvMDcSdEdI9UR41mY3MGcOpHZ1UTTQdTUS1WbVNGbGhXV2V2N4RmVL52QOdHeKFjaGZFMNlzd0clcrM0aLNENqh0RFNmdyV3StVXQ0NnbHJTOQl2UDhFO0JlS4FnU&tablename=CJFDLAST2015&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=YJSY201502014
37,ZGQL201503007,从“占中”运动看香港学生骨干培养的困境与突破,孙少森 罗盛齐,"香港高校学生骨干作为高校学生领袖,兼具独立自主和团队协作精神、充满政治抱负和反叛抗争思维、具备较高威望和鼓动号召能力等特质。他们的成长与培养过程是长期而复杂的,离不开时势和社会的引导教育、学校和社团的培养造就、学生个人的抉择努力。然而,""占中""运动发生以来,学生骨干的表现引人侧目,这在很大程度上折射出学生骨干培养面临的困境,即重公民教育轻国民教育、重独立自由轻监督约束、重张扬个性轻理性疏导等等。 ","占中;
                   学生骨干;
                   培养;
                   香港;",中国青年研究,2015年03期,1002-9931,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=ZGQL201503007&uid=,"http://kns.cnki.net/kns/download.aspx?filename=0QVcuR1azJWcDhVcF1mWtRjbtBnbDB1NpVFZ2N2L1ATOQB3U2lVZEFmQMR2Q2glV1MlcV9WVYdnbmp3TOp3KFxkUq5mcxE2bpJFVQhjeZZGSzsCZ0lWR2kzN6JVTKFDSNpFWE9UQFtUZjRzQuJGd0UTNEFlV4kDS&tablename=CJFDLAST2015&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=ZGQL201503007
38,SIXI201501025,中英高校学生会的比较研究及思考,王文文 陈浩 雷晓锋 丁永斌,"高校学生会是综合性的学生自治组织,是学生社会化的载体,也是高校管理者了解、服务和教育学生的重要抓手,学生会的建设对于大学治理、文化建设以及学生的全面发展具有重要意义。通过对中英高校学生会的性质、宗旨、职能和选举制度等方面的对比分析,能够对我国高校学生自治组织的发展提供有益借鉴。 ","中英;
                   学生会;
                   比较;
                   借鉴;",思想教育研究,2015年01期,1002-5707,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=SIXI201501025&uid=,"http://kns.cnki.net/kns/download.aspx?filename=mpXcZJnbSZzdSZzSYhzYKhUSNVzV5JWarMmbhR0RkZHUPh3cJxWcodXWIFzStVESPJ0Y2pkYU5mYNRHahBDaot2VO90RQ9yTiV1UtBHcphmbj90ThhFRJV1S0VEWZlHO5RVQzV3VvFXYP10LhN0MhR2MG5UZjdFM&tablename=CJFDLAST2015&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=SIXI201501025
39,GSJG201501015,被围困的身体——以X高校跑操制度为例,王碧梅 唐堂 常亚慧,"操场是一个任由身体放松与跳跃的空间,却在区域化管理、分级化监督的跑操制度之下,成为一个""封闭化""的空间,身体沦为被管理的""他者""。面对着""他者""的境遇,身体凭借探底、示弱、表演、合谋,在制度的断裂之处飞跃着。 ","围困;
                   身体;
                   跑操制度;
                   教育社会学;",当代教育与文化,2015年01期,1674-5779,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=GSJG201501015&uid=,"http://kns.cnki.net/kns/download.aspx?filename=390YxMjW5oUNPdnSEl0YPljdxgWdvBHNSZ3KQ5WaqNzLC9ySXJHTzpmUuJEMCplWZtmUxYlWQVGWC9mQCFDTJRTWMhGUVRjVYJ2ToJkZ0RVeDBTOORDUKVGaH1kTCVWT6NHa04kQBxEeWpWWnhDRBNFRzE2TzVWM&tablename=CJFDLAST2015&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GSJG201501015
40,BJSK201501006,完美的“铁笼”:规训“在场”的农村寄宿制学校——主体视角的柳溪村儿童学校教育考察,高雪莲,"继""留守""之后,柳溪村的家长和孩子在择校的困境中,无奈地选择了寄宿制学校。学校场域中,规训化权力的深层运作无所不在。一系列精心设计的""规训技术""渗透和弥漫在教育场域的各个环节。这些宰制人的微观权力通过时间、空间、身体的控制,以及层级式监督、规范化裁决、考试检查、扣分制度等规训技术形式加以展现。全景敞视化的结构性监视与权力执行技术的规范性监督构成了寄宿制学校的双重规训机制。在规训的教育框架中,只能塑造出缺乏理性和创新精神的""驯顺的肉体""以及""听话的灵魂""。 ","农村教育;
                   农村寄宿制学校;
                   权力;
                   规训;
                   全景敞视主义;",北京社会科学,2015年01期,1002-3054,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=BJSK201501006&uid=,"http://kns.cnki.net/kns/download.aspx?filename=tFzdqhWaXN3QQRVcW1USLJEM3YWOSB1TClHcPp0Q1gkZrEmYUR3SUN2VwYEN6d2KyF2b2gVUTFXYiBnd0hTQMxGVzYje3syRNdXOxwkMl92VFFURwQUZQhEZrIzZkJXa1NDVIl2U6dXbSFUbQpGahZnWllFbxUVY&tablename=CJFDLAST2015&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=BJSK201501006
41,RMJY201502012,直面新高考的疑惑,朱哲,"<正>走班教学没有准备好?新高考会不会增加学生负担?高校会如何使用学考和综合素质评价的结果?一系列疑惑期待解答。统考改""选考"",""素质""入档案,加分大""瘦身"",自主招生更""规范"",2014年年底,教育部密集出台了4个考招改革的配套文件。这标志着9月份国务院给出的考试招生制度大方向有了明确的实施路线图。2015年,自主招生和加分政策的调整,让一些寄希望于特长加分的学生有点措手不及,但也让更多的学生和家长感到""大家站到了同一条起跑线上""。对于他们的学弟学妹来说,影响则更为深远。学会选择、认识自我、规划 ",,人民教育,2015年02期,0448-9365,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=RMJY201502012&uid=,"http://kns.cnki.net/kns/download.aspx?filename=PBlMSB3YLFFck1WZXdVeGFWczkEOsNWYJBXYUhlUkRTbI1WVOh0dCdjTtV2VXx0MHRWVyMGSwJkQsVlUatUNrEGcTFXbqtGaFVXOo5Wdv12YyZEUlZlY1tER1QlQjVGM4IXVTpGZ3ZnY5kTTz1EdkVXav8CWxIle&tablename=CJFDLAST2015&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=RMJY201502012
